exp_id,date,git_sha,preset_path,benchmark,split,methods,n_tasks,multi_commit_n,merge_plan,closed_book_merge,closed_book_final,return_gating_min_steps,return_gating_min_open_pages,noise,chain,doc_repeat,branch_trap,max_steps,completion_rate,accuracy,token_p50,token_p90,notes,artifact_path
hotpotqa_v71_two_stage_baseline,2025-??-??,TBD,TBD,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",TBD,1,none,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Historical reference run (around v71): 'reasonable' accuracy baseline to match qualitatively.,TBD
mc_dag_sanity_v83_initial,2026-01-??,TBD,configs/hotpotqa_multicommit_dag_sanity.json,hotpotqa,dev,GoC,2,3,binary_tree,true,true,8,2,6,6,3,3,80,TBD,TBD,TBD,TBD,Early v83 sanity; in some runs multi-commit kwargs weren’t applied; stage prompt/injection issues.,runs/...
mc_dag_sanity_v85_no_auto_inject,2026-02-02,TBD,preset: hotpotqa_multicommit_dag_sanity,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",2,3,binary_tree,true,true,8,2,6,6,3,3,80,TBD,TBD,TBD,TBD,Auto-inject disabled for commit-flow; return logging improved.,runs/mc_sanity...
mc_dag_sanity_v86_merge_gating_off,2026-02-02,TBD,preset: hotpotqa_multicommit_dag_sanity,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",2,3,binary_tree,true,true,8,2,6,6,3,3,80,TBD,TBD,TBD,TBD,Merge stage gating disabled to prevent deadlock in closed-book merge.,runs/mc_sanity_v86...
mc_dag_sanity_v87_gating_toolcalls_dupopen_allow_titles2,2026-02-02,TBD,preset: hotpotqa_multicommit_dag_sanity,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",2,3,binary_tree,true,true,8,2,6,6,3,3,80,TBD,TBD,TBD,TBD,Gating aligned to open_page tool-call counts; dup_open deadlock removed; titles==2 strict.,runs/mc_sanity_v87...
mc_dag_medium_n3_20260203_a,2026-02-03,b29f8ade5806f54353eee566feddddb91ee54576,configs/mc_dag_medium_n3.json,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",30,3,binary_tree,true,true,2,1,2,3,1,1,120,GoC 0.967 | FullHistory 0.933 | SimilarityOnly 0.933,GoC 0.300 | FullHistory 0.233 | SimilarityOnly 0.233,GoC 61762.5 | FullHistory 59956.5 | SimilarityOnly 59299.5,GoC 266574.1 | FullHistory 616104.7 | SimilarityOnly 661884.0,"Contract OK. GoC token p90 < FullHistory/SimilarityOnly; 1 max_steps_exit (GoC), 2 each (FH/SO).",runs/mc_dag_medium_n3_20260203_a
TEMPLATE_mc_dag_easy_merge_n3,2026-??-??,TBD,configs/mc_dag_easy_merge_n3.json,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",30,3,binary_tree,true,true,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Template: easy-merge preset run-group.,TBD
TEMPLATE_mc_dag_medium_n_sweep,2026-??-??,TBD,"configs/sweep_mc_dag_medium_n{2,3,5}.json",hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",30,3,binary_tree,true,true,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Template: N-sweep (n=2/3/5) run-groups.,TBD
TEMPLATE_mc_dag_medium_budget_grid,2026-??-??,TBD,configs/sweep_mc_dag_medium_budget_grid_n3.json,hotpotqa,dev,"GoC,FullHistory,SimilarityOnly",30,3,binary_tree,true,true,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Template: budget grid run-group (GoC+FullHistory).,TBD
mc_dag_easy_merge_sanity_20260203,2026-02-03,TBD,configs/mc_dag_easy_merge_n3.json,hotpotqa,dev,GoC,1,3,binary_tree,true,true,1,1,0,3,0,0,120,GoC 1.0,GoC 0.0,GoC 59093.0,GoC 59093.0,Sanity run for easy-merge preset.,runs/mc_dag_easy_merge_sanity_20260203
mc_dag_medium_n5_autofix_on_candidate_inject_sanity_20260203,2026-02-03,TBD,configs/sweep_mc_dag_medium_n5_autofix_on.json,hotpotqa,dev,GoC,1,5,binary_tree,true,true,2,1,2,3,1,1,120,GoC 1.0,GoC TBD,GoC TBD,GoC TBD,Sanity: candidate_commits_injected observed at merge/final.,runs/mc_dag_medium_n5_autofix_on_candidate_inject_sanity_20260203
mc_dag_medium_n5_candidate_inject_sanity_fixE_20260203,2026-02-03,17ec306fee0b93132af274c234f75439c33bb092,configs/sweep_mc_dag_medium_n5_autofix_on.json,hotpotqa,dev,GoC,1,5,binary_tree,true,true,2,1,2,3,1,1,120,GoC 1.0,GoC 1.0,GoC 154527.0,GoC 154527.0,Sanity: Fix-E hardening; candidate_commits_injected at merge/final.,runs/mc_dag_medium_n5_candidate_inject_sanity_fixE_20260203
